conflict_title,country_iso,tier,rank_order,reason,source_note
"USA-China Strategic Rivalry",TWN,high,1,"Taiwan is the direct territorial flashpoint (Taiwan Strait) and hosts the global center of advanced semiconductor manufacturing (TSMC) - any serious USA-China conflict has Taiwan at its center by definition, not as a side effect.","General knowledge of Taiwan's role in the USA-China relationship; not from a single cited source."
"USA-China Strategic Rivalry",VNM,high,2,"Ranked most vulnerable of 16 major economies analyzed for US trade-war exposure, with exports equal to an extraordinary 88% of GDP - and Vietnam is simultaneously a top 'China+1' manufacturing relocation destination, caught on both sides.","Vulnerability ranking analysis (2025), 'Who is most and least vulnerable?' - Vietnam ranked most exposed by export-to-GDP ratio."
"USA-China Strategic Rivalry",KOR,high,3,"South Korea has been undergoing active, US-pressured decoupling from China since around 2019 - rising military spending and reduced strategic-industry trade with China, while its chip industry remains entangled with both US export controls and the Chinese market.","Korea Economic Institute of America analysis on 'Decoupling 2.0' and South Korea's strategic challenges (2025); China International Strategy Review (2025) on offensive decoupling pressure on Japan and South Korea."
"USA-China Strategic Rivalry",JPN,high,4,"Alongside South Korea, Japan has been pushed toward active strategic decoupling from China under US pressure - increased military spending and reduced strategic-industry trade, driven by US use of value-chain leverage.","China International Strategy Review (2025) on offensive decoupling pressure on Japan and South Korea."
"USA-China Strategic Rivalry",MEX,medium,5,"Mexico is a major 'nearshoring' beneficiary as firms relocate production away from China, but this status itself is exposed - the USMCA agreement is up for renegotiation starting 2026, adding real uncertainty to Mexico's position.","UCLA Anderson School of Management 2025 US-China Fall Economic Update, on nearshoring to Mexico and 2026 USMCA renegotiation risk."
"USA-China Strategic Rivalry",DEU,medium,6,"Unlike the US, the EU (including Germany) has been DEEPENING trade dependence on China even as US-China decoupling accelerates - a genuinely different, more entangled position that creates its own friction risk with US policy rather than direct USA-China crossfire exposure.","Peterson Institute for International Economics (PIIE) analysis, 'While the US and China decouple, the EU and China deepen trade dependencies.'"
"USA-China Strategic Rivalry",THA,medium,7,"Thailand shows high export dependence similar to other Southeast Asian manufacturing-shift destinations, though less extreme than Vietnam's.","Vulnerability ranking analysis (2025) on export-to-GDP exposure across 16 major economies."
"USA-China Strategic Rivalry",IND,low,8,"India was explicitly ranked among the LEAST vulnerable of 16 major economies analyzed, well-positioned to absorb trade-war impact due to strong domestic demand and comparatively low export dependency.","Vulnerability ranking analysis (2025) - India ranked among least vulnerable (rank 1-2 of 16) by export dependency."
"USA-China Strategic Rivalry",BRA,low,9,"Brazil was explicitly listed among the least vulnerable major economies analyzed for US-China trade war exposure, reflecting stronger domestic demand and different trade orientation.","Vulnerability ranking analysis (2025) - Brazil listed among least vulnerable economies."
"Russia-Ukraine War (Ongoing)",DEU,high,1,"Germany remains heavily dependent on energy costs from the broader disruption; European firms' energy bills roughly doubled in the year after the invasion per EIB modeling, with Germany and Italy singled out as feeling the pressure from Russian oil/gas dependence.","European Investment Bank Economics Department analysis, 'Ukraine conflict threatens Europe's recovery and mass poverty' - EU firm profitability modeling."
"Russia-Ukraine War (Ongoing)",POL,high,2,"Poland is geographically close to the conflict and was identified as among the EU countries whose firms are 'hard hit' by the war's economic fallout, alongside the Baltic states.","European Investment Bank Economics Department analysis on which EU countries/firms are hardest hit by the war."
"Russia-Ukraine War (Ongoing)",NGA,high,3,"Nigeria's food inflation climbed to over 24% year-on-year by March 2023, illustrating a broader pattern: geographically DISTANT, import-dependent developing countries were often hit harder by Russia/Ukraine grain export disruption than countries near the conflict itself.","Economics Observatory analysis, 'Ukraine: what's the global economic impact of Russia's invasion?' - citing Nigeria's 24% YoY food inflation."
"Russia-Ukraine War (Ongoing)",ITA,medium,4,"Italy, like Germany, was identified as heavily dependent on Russian oil and gas and feeling real pressure from the energy disruption, though the EIB analysis groups it alongside Germany rather than the hardest-hit Eastern European tier.","European Investment Bank Economics Department analysis on Italy and Germany's Russian oil/gas dependence."
"Russia-Ukraine War (Ongoing)",TUR,medium,5,"Turkey is a net BENEFICIARY on the energy side, not a victim - it was among the countries to which Russian oil exports rose sharply after Western sanctions cut off traditional buyers, indicating Turkey absorbed discounted Russian crude rather than suffering shortage.","IEA analysis, 'Russia's War on Ukraine' - Turkey named among destinations receiving increased Russian oil export volumes post-sanctions."
"Russia-Ukraine War (Ongoing)",IND,medium,6,"Like Turkey, India is a net beneficiary on energy - it was named among countries to which Russian oil export volumes rose sharply after the EU/US/UK cut off their purchases, reflecting India's well-documented shift toward discounted Russian crude.","IEA analysis, 'Russia's War on Ukraine' - India named among destinations for redirected Russian oil exports."
"India-Pakistan Conflict (2025)",CHN,high,1,"China occupies a uniquely exposed, conflicted position - simultaneously Pakistan's key strategic ally and investor (the $65 billion China-Pakistan Economic Corridor) and India's largest trading partner, forcing Beijing to walk a fine line between the two.","Journal analysis, 'The 2025 India-Pakistan Standoff: Implications for Global Stability and China's Strategic Calculus'; India Foundation analysis on India-China trade ($115B+ bilateral trade FY2023)."
"India-Pakistan Conflict (2025)",KAZ,medium,2,"Central Asian economies have fast-growing, large-scale Chinese trade ties ($89 billion regional trade in 2023, up 27% from 2022) and sit adjacent to the broader region - a dedicated analysis specifically flags Central Asia as facing real secondary spillover risk from a full-scale India-Pakistan war.","OilPrice.com analysis, 'How an India-Pakistan War Could Derail Central Asia's Future.'"
"India-Pakistan Conflict (2025)",KGZ,medium,3,"Same regional spillover exposure as other Central Asian economies - named specifically in analysis of India-Pakistan war risk to the region.","OilPrice.com analysis, 'How an India-Pakistan War Could Derail Central Asia's Future.'"
"India-Pakistan Conflict (2025)",TJK,medium,4,"Same regional spillover exposure as other Central Asian economies, with the added factor of proximity to Afghanistan named as a specific risk multiplier in the analysis.","OilPrice.com analysis, 'How an India-Pakistan War Could Derail Central Asia's Future' - proximity to Afghanistan cited as a risk factor."
"India-Pakistan Conflict (2025)",USA,medium,5,"The US played an active diplomatic role, with President Trump stating he used trade as leverage to help prevent a wider war - reflecting real US strategic stakes (countering China, India as a strategic partner) rather than direct economic exposure.","Forbes analysis, 'Conflict With Pakistan Undermines India's Geoeconomic Fortunes' - on US trade diplomacy during the conflict."
